1,3,1
2,1,1
3,2,1
4,2,4
5,3,3
6,1,2
7,3,3
8,2,2
9,2,3
10,1,2
11,1,1
12,1,5
13,1,1
14,3,5
15,3,5
16,3,5
17,2,2
18,1,1
19,2,5
20,3,1
21,3,3
22,2,2
23,2,1
24,3,1
25,3,1
26,2,4
27,3,1
28,3,5
29,2,3
30,2,4
31,3,4
32,1,5
33,3,4
34,1,5
35,3,5
36,1,5
37,3,3
38,2,4
39,2,5
40,2,5
41,2,5
42,3,1
43,3,1
44,1,1
45,2,5
46,3,4
47,2,5
48,2,2
49,2,4
50,2,5
51,3,1
52,2,1
53,2,4
54,1,1
55,3,5
56,2,3
57,3,3
58,1,4
59,1,2
60,1,5
61,3,5
62,3,2
63,2,1
64,3,2
65,3,1
66,3,5
67,1,2
68,1,5
69,1,2
70,3,2
71,3,5
72,3,2
73,1,5
74,2,1
75,3,5
76,3,1
77,1,2
78,3,3
79,2,1
80,3,5
81,3,5
82,3,2
83,3,1
84,1,4
85,1,2
86,2,1
87,1,3
88,1,1
89,3,1
90,1,4
91,1,3
92,2,3
93,1,4
94,1,4
95,3,4
96,2,3
97,3,3
98,3,1
99,2,4
100,2,1
101,2,3
102,3,2
103,2,3
104,1,1
105,2,1
106,2,2
107,1,4
108,3,3
109,2,1
110,2,1
111,3,1
112,3,3
113,3,1
114,3,4
115,2,4
116,1,2
117,2,2
118,2,3
119,1,1
120,3,1
121,3,1
122,1,4
123,3,1
124,3,4
125,2,4
126,2,5
127,2,5
128,3,3
129,3,3
130,1,5
131,3,1
132,1,1
133,1,3
134,2,1
135,3,3
136,1,2
137,3,2
138,3,1
139,3,2
140,1,2
141,3,2
142,3,2
143,1,2
144,3,2
145,2,1
146,2,5
147,3,1
148,3,3
149,3,4
150,1,5
151,1,2
152,3,5
153,1,3
154,1,1
155,1,3
156,2,2
157,2,4
158,3,4
159,1,1
160,3,5
161,2,4
162,2,2
163,2,5
164,3,3
165,1,2
166,2,3
167,3,1
168,3,5
169,1,2
170,1,5
171,2,4
172,1,2
173,1,4
174,2,3
175,1,3
176,2,5
177,2,2
178,2,4
179,1,1
180,1,5
181,3,5
182,3,2
183,3,5
184,3,4
185,2,2
186,1,1
187,1,4
188,1,4
189,2,3
190,1,4
191,3,1
192,2,3
193,1,1
194,2,1
195,1,5
196,1,2
197,3,4
198,2,5
199,1,3
200,2,4
201,2,4
202,2,3
203,2,3
204,3,2
205,2,1
206,3,1
207,1,3
208,1,2
209,3,3
210,3,1
211,2,3
212,1,4
213,2,1
214,2,4
215,3,3
216,2,5
217,3,2
218,2,1
219,2,4
220,2,2
221,3,2
222,2,3
223,1,5
224,1,5
225,1,4
226,2,2
227,1,5
228,3,5
229,2,4
230,2,3
231,1,4
232,2,2
233,2,5
234,2,3
235,3,5
236,1,1
237,3,4
238,2,2
239,3,3
240,3,1
241,3,2
242,2,3
243,1,4
244,3,2
245,2,2
246,2,1
247,1,2
248,1,2
249,3,5
250,3,4
251,2,5
252,3,1
253,2,3
254,2,1
255,1,4
256,2,4
257,2,1
258,2,2
259,2,1
260,1,4
261,3,3
262,1,4
263,2,1
264,2,2
265,3,3
266,3,1
267,1,2
268,2,1
269,1,3
270,2,4
271,1,5
272,1,4
273,3,5
274,2,5
275,1,2
276,1,2
277,2,3
278,3,5
279,3,4
280,2,1
281,3,1
282,2,3
283,1,2
284,2,5
285,1,2
286,3,5
287,3,1
288,2,4
289,3,5
290,1,3
291,3,1
292,2,1
293,2,2
294,2,1
295,3,2
296,3,2
297,3,5
298,1,4
299,3,4
300,2,2
301,3,3
302,3,1
303,1,3
304,1,4
305,3,5
306,2,2
307,3,3
308,3,1
309,1,3
310,3,3
311,1,5
312,3,1
313,3,4
314,1,2
315,3,1
316,2,1
317,1,1
318,2,5
319,1,1
320,1,1
321,1,4
322,2,4
323,1,5
324,2,2
325,3,4
326,2,5
327,1,2
328,3,2
329,2,4
330,2,3
331,2,4
332,2,5
333,1,3
334,2,2
335,1,2
336,3,5
337,3,2
338,1,1
339,3,1
340,1,3
341,1,1
342,3,1
343,3,4
344,2,2
345,1,1
346,3,2
347,3,1
348,1,2
349,1,3
350,2,4
351,3,5
352,2,4
353,2,3
354,1,2
355,3,4
356,3,1
357,1,3
358,3,5
359,1,3
360,1,4
361,3,2
362,2,5
363,2,4
364,3,3
365,2,5
366,3,2
367,1,4
368,3,2
369,2,4
370,2,3
371,2,2
372,2,2
373,3,4
374,3,4
375,1,2
376,2,3
377,3,3
378,3,1
379,2,1
380,1,3
381,3,4
382,2,5
383,3,2
384,2,3
385,2,4
386,1,5
387,2,1
388,3,4
389,3,5
390,2,1
391,1,3
392,2,4
393,2,1
394,3,4
395,3,4
396,2,3
397,2,3
